#REPOSITORY;NAME;ALIAS
Leaflet/Leaflet;danzel;Daniel
ajaxorg/ace;Robin;Robik
ruby/ruby;nahi;nari
ruby/ruby;kou;knu
ruby/ruby;kou;ko1
ruby/ruby;eban;evan
jekyll/jekyll;Jon;jcon
rails/rails;Nick;rick
rails/rails;Nick;Nico
Homebrew/homebrew;Ayed;Iyed
Homebrew/homebrew;Daniel;daniele
Homebrew/homebrew;mrb;mrf
Homebrew/homebrew;mrb;wrb
Homebrew/homebrew;sean;Stan
Homebrew/homebrew;Ian Hill;Ian Will
Homebrew/homebrew;Dan;Ian
Homebrew/homebrew;Andrew;Andrey
Homebrew/homebrew;bart;dbart
Homebrew/homebrew;Alexei;Alexey
Homebrew/homebrew;Alexey;Alexei
Homebrew/homebrew;Marc;Mary
Homebrew/homebrew;Luca;lucha
Homebrew/homebrew;Ian;Dan
Homebrew/homebrew;Hao Hong;Hao Song
Homebrew/homebrew;Alex K;Alex D
Homebrew/homebrew;Andrey;Andrew
Homebrew/homebrew;Denis;Dennis
saltstack/salt;Mrten;morten
getsentry/sentry;sandy;andy
odoo/odoo;VRA(OpenERP);VRO(OpenERP)
odoo/odoo;rch;bch
odoo/odoo;rch;NCH
odoo/odoo;rch;nch
odoo/odoo;sbh;skh
odoo/odoo;sbh;kbh
odoo/odoo;RCH(OpenERP);ACH(OpenERP)
odoo/odoo;RCH(OpenERP);NCH(openerp)
odoo/odoo;RCH(OpenERP);NCH(OpenERP)
odoo/odoo;Sbh(Openerp);SKH(OpenERP)
odoo/odoo;apa;gpa
odoo/odoo;apa;ana
odoo/odoo;apa;gpa
odoo/odoo;ARA(OpenERP);VRA(OpenERP)
odoo/odoo;rpa (Open ERP);RHA (Open ERP)
odoo/odoo;rpa (Open ERP);Rga (Open ERP)
odoo/odoo;ysa(OpenERP);YYA(OpenERP)
odoo/odoo;JMA(OpenERP);SMA(OpenERP)
odoo/odoo;ara;apa
odoo/odoo;qdp;qdc
odoo/odoo;rlu-odoo;rmu-odoo
odoo/odoo;rch (Open ERP);NCH (Open ERP)
odoo/odoo;SME(Tiny/Axelor);AME(Tiny/Axelor)
odoo/odoo;SME(Tiny/Axelor);AME(tiny/Axelor)
odoo/odoo;kmo;xmo
odoo/odoo;kmo;kjo
odoo/odoo;kmo;hmo
odoo/odoo;vth;bth
odoo/odoo;PSO(OpenERP);PSI(Openerp)
odoo/odoo;PSO(OpenERP);PSI(OpenERP)
odoo/odoo;KSA (Open ERP);Ysa (Open ERP)
odoo/odoo;tiny;Tony
odoo/odoo;RGA(openERP);RHA(OpenERP)
odoo/odoo;RGA(openERP);rha(OpenERP)
odoo/odoo;dhr-odoo;Dhs-odoo
odoo/odoo;psi (Open ERP);ssi (Open ERP)
odoo/odoo;rga;rha
odoo/odoo;rga;rgo
odoo/odoo;ARA (OpenERP);VRA (OpenERP)
odoo/odoo;RVO(OpenERP);jvo(OpenERP)
odoo/odoo;qdc;qdp
odoo/odoo;qdc;qdp
odoo/odoo;bde;rde
odoo/odoo;AMP (OpenERP);atp (OpenERP)
odoo/odoo;AMP (OpenERP);ATP (OpenERP)
odoo/odoo;rch-openerp;NCH-OpenERP
odoo/odoo;vra;vro
odoo/odoo;vra;ara
odoo/odoo;vra;vba
odoo/odoo;GPA(OpenERP);RPA(OpenERP)
odoo/odoo;mso;pso
yiisoft/yii2;Alexandr;Alexander
phacility/phabricator;Lex;Alex
android/platform_frameworks_base;Ji-Hwan Lee;Ki-Hwan Lee
android/platform_frameworks_base;Ki-Hwan Lee;Ji-Hwan Lee
android/platform_frameworks_base;Yang Li;Yang Ni
android/platform_frameworks_base;Yang Li;Ang Li
cocos2d/cocos2d-x;Ningyu;ningxu
cocos2d/cocos2d-x;ì„±ë‚™í˜¸;é‚µæˆ?ç£Š
cocos2d/cocos2d-x;Bruce;xbruce
cocos2d/cocos2d-x;é»„æ¢¦é¾™;èƒ–æ¢?
webscalesql/webscalesql-5.6;grog@mysql.com;greg@mysql.com
torvalds/linux;Alex Wang;Alex Yang
torvalds/linux;Li Fei;Li Wei
